S	-10mV	0mV	10mV	20mV	30mV	40mV
-0.1148	0	0	0	0	0	0
-0.1144	0	0	0	0	0	0
-0.114	0	0	0	0	0	0
-0.1136	0	0	0	0	0	0
-0.1132	0	0	0	0	0	0
-0.1128	0	0	0	0	0	0
-0.1124	0	0	0	0	0	0
-0.112	0	0	0	0	0	0
-0.1116	0	0	0	0	0	0
-0.1112	0	0	0	0	0	0
-0.1108	0	0	0	0	0	0
-0.1104	0	0	0	0	0	0
-0.11	0	0	0	0	0	0
-0.1096	0	0	0	0	0	0
-0.1092	0	0	0	0	0	0
-0.1088	0	0	0	0	0	0
-0.1084	0	0	0	0	0	0
-0.108	0	0	0	0	0	0
-0.1076	0	0	0	0	0	0
-0.1072	0	0	0	0	0	0
-0.1068	0	0	0	0	0	0
-0.1064	0	0	0	0	0	0
-0.106	0	0	0	0	0	0
-0.1056	0	0	0	0	0	0
-0.1052	0	0	0	0	0	0
-0.1048	0	0	0	0	0	0
-0.1044	0	0	0	0	0	0
-0.104	0	0	0	0	0	0
-0.1036	0	0	0	0	0	0
-0.1032	0	0	0	0	0	0
-0.1028	0	0	0	0	0	0
-0.1024	0	0	0	0	0	0
-0.102	0	0	0	0	0	0
-0.1016	0	0	0	0	0	0
-0.1012	0	0	0	0	0	0
-0.1008	0	0	0	0	0	0
-0.1004	0	0	0	0	0	0
-0.1	0	0	0	0	0	0
-0.0996	0	0	0	0	0	0
-0.0992	0	0	0	0	0	0
-0.0988	0	0	0	0	0	0
-0.0984	0	0	0	0	0	0
-0.098	0	0	0	0	0	0
-0.0976	0	0	0	0	0	0
-0.0972	0	0	0	0	0	0
-0.0968	0	0	0	0	0	0
-0.0964	0	0	0	0	0	0
-0.096	0	0	0	0	0	0
-0.0956	0	0	0	0	0	0
-0.0952	0	0	0	0	0	0
-0.0948	0	0	0	0	0	0
-0.0944	0	0	0	0	0	0
-0.094	0	0	0	0	0	0
-0.0936	0	0	0	0	0	0
-0.0932	0	0	0	0	0	0
-0.0928	0	0	0	0	0	0
-0.0924	0	0	0	0	0	0
-0.092	0	0	0	0	0	0
-0.0916	0	0	0	0	0	0
-0.0912	0	0	0	0	0	0
-0.0908	0	0	0	0	0	0
-0.0904	0	0	0	0	0	0
-0.09	0	0	0	0	0	0
-0.0896	0	0	0	0	0	0
-0.0892	0	0	0	0	0	0
-0.0888	0	0	0	0	0	0
-0.0884	0	0	0	0	0	0
-0.088	0	0	0	0	0	0
-0.0876	0	0	0	0	0	0
-0.0872	0	0	0	0	0	0
-0.0868	0	0	0	0	0	0
-0.0864	0	0	0	0	0	0
-0.086	0	0	0	0	0	0
-0.0856	0	0	0	0	0	0
-0.0852	0	0	0	0	0	0
-0.0848	0	0	0	0	0	0
-0.0844	0	0	0	0	0	0
-0.084	0	0	0	0	0	0
-0.0836	0	0	0	0	0	0
-0.0832	0	0	0	0	0	0
-0.0828	0	0	0	0	0	0
-0.0824	0	0	0	0	0	0
-0.082	0	0	0	0	0	0
-0.0816	0	0	0	0	0	0
-0.0812	0	0	0	0	0	0
-0.0808	0	0	0	0	0	0
-0.0804	0	0	0	0	0	0
-0.08	0	0	0	0	0	0
-0.0796	0	0	0	0	0	0
-0.0792	0	0	0	0	0	0
-0.0788	0	0	0	0	0	0
-0.0784	0	0	0	0	0	0
-0.078	0	0	0	0	0	0
-0.0776	0	0	0	0	0	0
-0.0772	0	0	0	0	0	0
-0.0768	0	0	0	0	0	0
-0.0764	0	0	0	0	0	0
-0.076	0	0	0	0	0	0
-0.0756	0	0	0	0	0	0
-0.0752	0	0	0	0	0	0
-0.0748	0	0	0	0	0	0
-0.0744	0	0	0	0	0	0
-0.074	0	0	0	0	0	0
-0.0736	0	0	0	0	0	0
-0.0732	0	0	0	0	0	0
-0.0728	0	0	0	0	0	0
-0.0724	0	0	0	0	0	0
-0.072	0	0	0	0	0	0
-0.0716	0	0	0	0	0	0
-0.0712	0	0	0	0	0	0
-0.0708	0	0	0	0	0	0
-0.0704	0	0	0	0	0	0
-0.07	0	0	0	0	0	0
-0.0696	0	0	0	0	0	0
-0.0692	0	0	0	0	0	0
-0.0688	0	0	0	0	0	0
-0.0684	0	0	0	0	0	0
-0.068	0	0	0	0	0	0
-0.0676	0	0	0	0	0	0
-0.0672	0	0	0	0	0	0
-0.0668	0	0	0	0	0	0
-0.0664	0	0	0	0	0	0
-0.066	0	0	0	0	0	0
-0.0656	0	0	0	0	0	0
-0.0652	0	0	0	0	0	0
-0.0648	0	0	0	0	0	0
-0.0644	0	0	0	0	0	0
-0.064	0	0	0	0	0	0
-0.0636	0	0	0	0	0	0
-0.0632	0	0	0	0	0	0
-0.0628	0	0	0	0	0	0
-0.0624	0	0	0	0	0	0
-0.062	0	0	0	0	0	0
-0.0616	0	0	0	0	0	0
-0.0612	0	0	0	0	0	0
-0.0608	0	0	0	0	0	0
-0.0604	0	0	0	0	0	0
-0.06	0	0	0	0	0	0
-0.0596	0	0	0	0	0	0
-0.0592	0	0	0	0	0	0
-0.0588	0	0	0	0	0	0
-0.0584	0	0	0	0	0	0
-0.058	0	0	0	0	0	0
-0.0576	0	0	0	0	0	0
-0.0572	0	0	0	0	0	0
-0.0568	0	0	0	0	0	0
-0.0564	0	0	0	0	0	0
-0.056	0	0	0	0	0	0
-0.0556	0	0	0	0	0	0
-0.0552	0	0	0	0	0	0
-0.0548	0	0	0	0	0	0
-0.0544	0	0	0	0	0	0
-0.054	0	0	0	0	0	0
-0.0536	0	0	0	0	0	0
-0.0532	0	0	0	0	0	0
-0.0528	0	0	0	0	0	0
-0.0524	0	0	0	0	0	0
-0.052	0	0	0	0	0	0
-0.0516	0	0	0	0	0	0
-0.0512	0	0	0	0	0	0
-0.0508	0	0	0	0	0	0
-0.0504	0	0	0	0	0	0
-0.05	0	0	0	0	0	0
-0.0496	0	0	0	0	0	0
-0.0492	0	0	0	0	0	0
-0.0488	0	0	0	0	0	0
-0.0484	0	0	0	0	0	0
-0.048	0	0	0	0	0	0
-0.0476	0	0	0	0	0	0
-0.0472	0	0	0	0	0	0
-0.0468	0	0	0	0	0	0
-0.0464	0	0	0	0	0	0
-0.046	0	0	0	0	0	0
-0.0456	0	0	0	0	0	0
-0.0452	0	0	0	0	0	0
-0.0448	0	0	0	0	0	0
-0.0444	0	0	0	0	0	0
-0.044	0	0	0	0	0	0
-0.0436	0	0	0	0	0	0
-0.0432	0	0	0	0	0	0
-0.0428	0	0	0	0	0	0
-0.0424	0	0	0	0	0	0
-0.042	0	0	0	0	0	0
-0.0416	0	0	0	0	0	0
-0.0412	0	0	0	0	0	0
-0.0408	0	0	0	0	0	0
-0.0404	0	0	0	0	0	0
-0.04	0	0	0	0	0	0
-0.0396	0	0	0	0	0	0
-0.0392	0	0	0	0	0	0
-0.0388	0	0	0	0	0	0
-0.0384	0	0	0	0	0	0
-0.038	0	0	0	0	0	0
-0.0376	0	0	0	0	0	0
-0.0372	0	0	0	0	0	0
-0.0368	0	0	0	0	0	0
-0.0364	0	0	0	0	0	0
-0.036	0	0	0	0	0	0
-0.0356	0	0	0	0	0	0
-0.0352	0	0	0	0	0	0
-0.0348	0	0	0	0	0	0
-0.0344	0	0	0	0	0	0
-0.034	0	0	0	0	0	0
-0.0336	0	0	0	0	0	0
-0.0332	0	0	0	0	0	0
-0.0328	0	0	0	0	0	0
-0.0324	0	0	0	0	0	0
-0.032	0	0	0	0	0	0
-0.0316	0	0	0	0	0	0
-0.0312	0	0	0	0	0	0
-0.0308	0	0	0	0	0	0
-0.0304	0	0	0	0	0	0
-0.03	0	0	0	0	0	0
-0.0296	0	0	0	0	0	0
-0.0292	0	0	0	0	0	0
-0.0288	0	0	0	0	0	0
-0.0284	0	0	0	0	0	0
-0.028	0	0	0	0	0	0
-0.0276	0	0	0	0	0	0
-0.0272	0	0	0	0	0	0
-0.0268	0	0	0	0	0	0
-0.0264	0	0	0	0	0	0
-0.026	0	0	0	0	0	0
-0.0256	0	0	0	0	0	0
-0.0252	0	0	0	0	0	0
-0.0248	0	0	0	0	0	0
-0.0244	0	0	0	0	0	0
-0.024	0	0	0	0	0	0
-0.0236	0	0	0	0	0	0
-0.0232	0	0	0	0	0	0
-0.0228	0	0	0	0	0	0
-0.0224	0	0	0	0	0	0
-0.022	0	0	0	0	0	0
-0.0216	0	0	0	0	0	0
-0.0212	0	0	0	0	0	0
-0.0208	0	0	0	0	0	0
-0.0204	0	0	0	0	0	0
-0.02	0	0	0	0	0	0
-0.0196	0	0	0	0	0	0
-0.0192	0	0	0	0	0	0
-0.0188	0	0	0	0	0	0
-0.0184	0	0	0	0	0	0
-0.018	0	0	0	0	0	0
-0.0176	0	0	0	0	0	0
-0.0172	0	0	0	0	0	0
-0.0168	0	0	0	0	0	0
-0.0164	0	0	0	0	0	0
-0.016	0	0	0	0	0	0
-0.0156	0	0	0	0	0	0
-0.0152	0	0	0	0	0	0
-0.0148	0	0	0	0	0	0
-0.0144	0	0	0	0	0	0
-0.014	0	0	0	0	0	0
-0.0136	0	0	0	0	0	0
-0.0132	0	0	0	0	0	0
-0.0128	0	0	0	0	0	0
-0.0124	0	0	0	0	0	0
-0.012	0	0	0	0	0	0
-0.0116	0	0	0	0	0	0
-0.0112	0	0	0	0	0	0
-0.0108	0	0	0	0	0	0
-0.0104	0	0	0	0	0	0
-0.01	0	0	0	0	0	0
-0.00959999999999999	0	0	0	0	0	0
-0.00919999999999999	0	0	0	0	0	0
-0.00879999999999998	0	0	0	0	0	0
-0.00840000000000001	0	0	0	0	0	0
-0.008	0	0	0	0	0	0
-0.00759999999999999	0	0	0	0	0	0
-0.00719999999999999	0	0	0	0	0	0
-0.00679999999999998	0	0	0	0	0	0
-0.00640000000000001	0	0	0	0	0	0
-0.006	0	0	0	0	0	0
-0.00559999999999999	0	0	0	0	0	0
-0.00519999999999999	0	0	0	0	0	0
-0.00479999999999998	0	0	0	0	0	0
-0.00440000000000001	0	0	0	0	0	0
-0.004	0	0	0	0	0	0
-0.00359999999999999	0	0	0	0	0	0
-0.00319999999999999	0	0	0	0	0	0
-0.00279999999999998	0	0	0	0	0	0
-0.00240000000000001	0	0	0	0	0	0
-0.002	0	0	0	0	0	0
-0.00159999999999999	0	0	0	0	0	0
-0.00119999999999999	0	0	0	0	0	0
-0.000799999999999983	0	0	0	0	0	0
-0.000400000000000006	0	0	0	0	0	0
0	0	0	0	0	0	0
0.000400000000000006	3.59484346224683e-13	1.79082568807342e-12	4.1553398058253e-12	1.2375690607735e-11	1.54696132596687e-11	2.87292817679562e-11
0.000800000000000011	7.18968692449366e-13	3.58165137614684e-12	8.3106796116506e-12	2.475138121547e-11	3.09392265193375e-11	5.74585635359124e-11
0.00120000000000002	1.07845303867405e-12	5.37247706422026e-12	1.24660194174759e-11	3.7127071823205e-11	4.64088397790062e-11	8.61878453038686e-11
0.00159999999999999	1.43793738489871e-12	7.16330275229355e-12	1.66213592233009e-11	4.95027624309391e-11	6.18784530386738e-11	1.14917127071823e-10
0.002	1.79742173112339e-12	8.95412844036697e-12	2.07766990291262e-11	6.1878453038674e-11	7.73480662983425e-11	1.43646408839779e-10
0.00240000000000001	2.15690607734807e-12	1.07449541284404e-11	2.49320388349515e-11	7.4254143646409e-11	9.28176795580113e-11	1.72375690607735e-10
0.00280000000000001	2.51639042357275e-12	1.25357798165138e-11	2.90873786407768e-11	8.6629834254144e-11	1.0828729281768e-10	2.01104972375691e-10
0.00320000000000002	2.87587476979744e-12	1.43266055045872e-11	3.32427184466021e-11	9.9005524861879e-11	1.23756906077349e-10	2.29834254143648e-10
0.00360000000000002	3.23535911602212e-12	1.61174311926607e-11	3.73980582524274e-11	1.11381215469614e-10	1.39226519337017e-10	2.58563535911604e-10
0.004	3.59484346224678e-12	1.79082568807339e-11	4.15533980582524e-11	1.23756906077348e-10	1.54696132596685e-10	2.60170658682635e-10
0.00440000000000001	3.95432780847146e-12	1.96990825688074e-11	4.57087378640777e-11	1.36132596685083e-10	1.70165745856354e-10	2.60350299401198e-10
0.00480000000000001	4.31381215469614e-12	2.14899082568808e-11	4.9864077669903e-11	1.48508287292818e-10	1.85635359116023e-10	2.6052994011976e-10
0.00520000000000002	4.67329650092083e-12	2.32807339449542e-11	5.40194174757283e-11	1.60883977900553e-10	2.01104972375691e-10	2.60709580838323e-10
0.00560000000000002	5.05034907597538e-12	2.50715596330276e-11	5.81747572815536e-11	1.6817453798768e-10	2.1017453798768e-10	2.60889221556886e-10
0.006	5.4511704312115e-12	2.68623853211009e-11	6.23300970873786e-11	1.68585215605749e-10	2.1058521560575e-10	2.61068862275449e-10
0.00640000000000001	5.85199178644764e-12	2.86532110091743e-11	6.64854368932039e-11	1.68995893223819e-10	2.10995893223819e-10	2.61248502994012e-10
0.00680000000000001	6.25281314168379e-12	3.04440366972478e-11	7.06407766990292e-11	1.69406570841889e-10	2.11406570841889e-10	2.61428143712575e-10
0.00720000000000002	6.65363449691993e-12	3.22348623853212e-11	7.47961165048545e-11	1.69817248459959e-10	2.11817248459959e-10	2.61607784431138e-10
0.00760000000000002	7.05445585215608e-12	3.40256880733946e-11	7.89514563106798e-11	1.70227926078029e-10	2.12227926078029e-10	2.61787425149701e-10
0.008	7.4552772073922e-12	3.58165137614679e-11	8.31067961165049e-11	1.70638603696099e-10	2.12638603696099e-10	2.61967065868264e-10
0.00840000000000001	7.85609856262834e-12	3.76073394495413e-11	8.72621359223302e-11	1.71049281314168e-10	2.13049281314168e-10	2.62146706586826e-10
0.00880000000000001	8.25691991786449e-12	3.93981651376147e-11	9.14174757281555e-11	1.71459958932238e-10	2.13459958932238e-10	2.62326347305389e-10
0.00920000000000002	8.65774127310063e-12	4.11889908256881e-11	9.55728155339808e-11	1.71870636550308e-10	2.13870636550308e-10	2.62505988023952e-10
0.00960000000000002	9.05856262833678e-12	4.29798165137616e-11	9.9728155339806e-11	1.72281314168378e-10	2.14281314168378e-10	2.62685628742515e-10
0.01	9.45938398357289e-12	4.47706422018349e-11	1.03883495145631e-10	1.72691991786448e-10	2.14691991786448e-10	2.62865269461078e-10
0.0104	9.79047619047619e-12	4.65614678899083e-11	1.07070175438596e-10	1.73e-10	2.15020833333333e-10	2.63e-10
0.0108	9.91238095238096e-12	4.83522935779817e-11	1.07350877192982e-10	1.73e-10	2.15104166666667e-10	2.63e-10
0.0112	1.00342857142857e-11	4.92055555555556e-11	1.07631578947368e-10	1.73e-10	2.151875e-10	2.63e-10
0.0116	1.01561904761905e-11	4.97462962962963e-11	1.07912280701754e-10	1.73e-10	2.15270833333333e-10	2.63e-10
0.012	1.02780952380952e-11	5.0287037037037e-11	1.0819298245614e-10	1.73e-10	2.15354166666667e-10	2.63e-10
0.0124	1.04e-11	5.08277777777778e-11	1.08473684210526e-10	1.73e-10	2.154375e-10	2.63e-10
0.0128	1.05219047619048e-11	5.13685185185185e-11	1.08754385964912e-10	1.73e-10	2.15520833333333e-10	2.63e-10
0.0132	1.06438095238095e-11	5.19092592592593e-11	1.09035087719298e-10	1.73e-10	2.15604166666667e-10	2.63e-10
0.0136	1.07657142857143e-11	5.245e-11	1.09315789473684e-10	1.73e-10	2.156875e-10	2.63e-10
0.014	1.0887619047619e-11	5.29907407407407e-11	1.0959649122807e-10	1.73e-10	2.15770833333333e-10	2.63e-10
0.0144	1.10095238095238e-11	5.35314814814815e-11	1.09877192982456e-10	1.73e-10	2.15854166666667e-10	2.63e-10
0.0148	1.11314285714286e-11	5.40722222222222e-11	1.10157894736842e-10	1.73e-10	2.159375e-10	2.63e-10
0.0152	1.12533333333333e-11	5.4612962962963e-11	1.10438596491228e-10	1.73e-10	2.16020833333333e-10	2.63e-10
0.0156	1.13752380952381e-11	5.51537037037037e-11	1.10719298245614e-10	1.73e-10	2.16104166666667e-10	2.63e-10
0.016	1.14971428571429e-11	5.56944444444444e-11	1.11e-10	1.73e-10	2.161875e-10	2.63e-10
0.0164	1.16190476190476e-11	5.61300613496933e-11	1.11280701754386e-10	1.73e-10	2.16270833333333e-10	2.63e-10
0.0168	1.17409523809524e-11	5.62503067484663e-11	1.11561403508772e-10	1.73e-10	2.16354166666667e-10	2.63e-10
0.0172	1.18628571428571e-11	5.63705521472393e-11	1.11842105263158e-10	1.73e-10	2.164375e-10	2.63e-10
0.0176	1.19847619047619e-11	5.64907975460123e-11	1.12122807017544e-10	1.73e-10	2.16520833333333e-10	2.63e-10
0.018	1.21066666666667e-11	5.66110429447853e-11	1.1240350877193e-10	1.73e-10	2.16604166666667e-10	2.63e-10
0.0184	1.22285714285714e-11	5.67312883435583e-11	1.12684210526316e-10	1.73e-10	2.166875e-10	2.63e-10
0.0188	1.23504761904762e-11	5.68515337423313e-11	1.12964912280702e-10	1.73e-10	2.16770833333333e-10	2.63e-10
0.0192	1.2472380952381e-11	5.69717791411043e-11	1.13245614035088e-10	1.73e-10	2.16854166666667e-10	2.63e-10
0.0196	1.25942857142857e-11	5.70920245398773e-11	1.13526315789474e-10	1.73e-10	2.169375e-10	2.63e-10
0.02	1.27161904761905e-11	5.72122699386503e-11	1.1380701754386e-10	1.72990291262136e-10	2.17009708737864e-10	2.62990291262136e-10
0.0204	1.28380952380952e-11	5.73325153374233e-11	1.14087719298246e-10	1.7295145631068e-10	2.1704854368932e-10	2.6295145631068e-10
0.0208	1.296e-11	5.74527607361963e-11	1.14368421052632e-10	1.72912621359223e-10	2.17087378640777e-10	2.62912621359223e-10
0.0212	1.30819047619048e-11	5.75730061349693e-11	1.14649122807018e-10	1.72873786407767e-10	2.17126213592233e-10	2.62873786407767e-10
0.0216	1.32038095238095e-11	5.76932515337423e-11	1.14929824561404e-10	1.72834951456311e-10	2.17165048543689e-10	2.62834951456311e-10
0.022	1.33257142857143e-11	5.78134969325153e-11	1.15062068965517e-10	1.72796116504854e-10	2.17203883495146e-10	2.62796116504854e-10
0.0224	1.3447619047619e-11	5.79337423312883e-11	1.15144827586207e-10	1.72757281553398e-10	2.17242718446602e-10	2.62757281553398e-10
0.0228	1.35695238095238e-11	5.80539877300614e-11	1.15227586206897e-10	1.72718446601942e-10	2.17281553398058e-10	2.62718446601942e-10
0.0232	1.36558620689655e-11	5.81742331288344e-11	1.15310344827586e-10	1.72679611650485e-10	2.17320388349515e-10	2.62679611650485e-10
0.0236	1.37303448275862e-11	5.82944785276074e-11	1.15393103448276e-10	1.72640776699029e-10	2.17359223300971e-10	2.62640776699029e-10
0.024	1.38048275862069e-11	5.84147239263804e-11	1.15475862068966e-10	1.72601941747573e-10	2.17398058252427e-10	2.62601941747573e-10
0.0244	1.38793103448276e-11	5.85349693251534e-11	1.15558620689655e-10	1.72563106796116e-10	2.17436893203883e-10	2.62563106796116e-10
0.0248	1.39537931034483e-11	5.86552147239264e-11	1.15641379310345e-10	1.7252427184466e-10	2.1747572815534e-10	2.6252427184466e-10
0.0252	1.4028275862069e-11	5.87754601226994e-11	1.15724137931034e-10	1.72485436893204e-10	2.17514563106796e-10	2.62485436893204e-10
0.0256	1.41027586206897e-11	5.88957055214724e-11	1.15806896551724e-10	1.72446601941748e-10	2.17553398058252e-10	2.62446601941748e-10
0.026	1.41772413793103e-11	5.90159509202454e-11	1.15889655172414e-10	1.72407766990291e-10	2.17592233009709e-10	2.62407766990291e-10
0.0264	1.4251724137931e-11	5.91361963190184e-11	1.15972413793103e-10	1.72368932038835e-10	2.17631067961165e-10	2.62368932038835e-10
0.0268	1.43262068965517e-11	5.92564417177914e-11	1.16055172413793e-10	1.72330097087379e-10	2.17669902912621e-10	2.62330097087379e-10
0.0272	1.44006896551724e-11	5.93766871165644e-11	1.16137931034483e-10	1.72291262135922e-10	2.17708737864078e-10	2.62291262135922e-10
0.0276	1.44751724137931e-11	5.94969325153374e-11	1.16220689655172e-10	1.72252427184466e-10	2.17747572815534e-10	2.62252427184466e-10
0.028	1.45496551724138e-11	5.96171779141104e-11	1.16303448275862e-10	1.7221359223301e-10	2.1778640776699e-10	2.6221359223301e-10
0.0284	1.46241379310345e-11	5.97374233128834e-11	1.16386206896552e-10	1.72174757281553e-10	2.17825242718447e-10	2.62174757281553e-10
0.0288	1.46986206896552e-11	5.98576687116564e-11	1.16468965517241e-10	1.72135922330097e-10	2.17864077669903e-10	2.62135922330097e-10
0.0292	1.47731034482759e-11	5.99779141104294e-11	1.16551724137931e-10	1.72097087378641e-10	2.17902912621359e-10	2.62097087378641e-10
0.0296	1.48475862068966e-11	6.00981595092025e-11	1.16634482758621e-10	1.72058252427184e-10	2.17941747572816e-10	2.62058252427184e-10
0.03	1.49220689655172e-11	6.02184049079754e-11	1.1671724137931e-10	1.72019417475728e-10	2.17980582524272e-10	2.62019417475728e-10
0.0304	1.49965517241379e-11	6.03386503067485e-11	1.168e-10	1.72e-10	2.18041666666667e-10	2.619375e-10
0.0308	1.50710344827586e-11	6.04588957055215e-11	1.1688275862069e-10	1.72e-10	2.18125e-10	2.618125e-10
0.0312	1.51455172413793e-11	6.05791411042945e-11	1.16965517241379e-10	1.72e-10	2.18208333333333e-10	2.616875e-10
0.0316	1.522e-11	6.06993865030675e-11	1.17048275862069e-10	1.72e-10	2.18291666666667e-10	2.615625e-10
0.032	1.52944827586207e-11	6.08196319018405e-11	1.17131034482759e-10	1.72e-10	2.18375e-10	2.614375e-10
0.0324	1.53689655172414e-11	6.09398773006135e-11	1.17213793103448e-10	1.72e-10	2.18458333333333e-10	2.613125e-10
0.0328	1.54434482758621e-11	6.10274285714286e-11	1.17296551724138e-10	1.72e-10	2.18541666666667e-10	2.611875e-10
0.0332	1.55179310344828e-11	6.10822857142857e-11	1.17379310344828e-10	1.72e-10	2.18625e-10	2.610625e-10
0.0336	1.55924137931035e-11	6.11371428571429e-11	1.17462068965517e-10	1.72e-10	2.18708333333333e-10	2.609375e-10
0.034	1.56668965517241e-11	6.1192e-11	1.17544827586207e-10	1.72e-10	2.18791666666667e-10	2.608125e-10
0.0344	1.57413793103448e-11	6.12468571428571e-11	1.17627586206897e-10	1.72e-10	2.18875e-10	2.606875e-10
0.0348	1.58158620689655e-11	6.13017142857143e-11	1.17710344827586e-10	1.72e-10	2.18958333333333e-10	2.605625e-10
0.0352	1.58903448275862e-11	6.13565714285714e-11	1.17793103448276e-10	1.72e-10	2.19041666666667e-10	2.604375e-10
0.0356	1.59648275862069e-11	6.14114285714286e-11	1.17875862068966e-10	1.72e-10	2.19125e-10	2.603125e-10
0.036	1.60393103448276e-11	6.14662857142857e-11	1.17958620689655e-10	1.72e-10	2.19208333333333e-10	2.601875e-10
0.0364	1.61137931034483e-11	6.15211428571429e-11	1.17991266375546e-10	1.72e-10	2.19291666666667e-10	2.600625e-10
0.0368	1.6188275862069e-11	6.1576e-11	1.17973799126638e-10	1.72e-10	2.19375e-10	2.599375e-10
0.0372	1.62627586206897e-11	6.16308571428571e-11	1.17956331877729e-10	1.72e-10	2.19458333333333e-10	2.598125e-10
0.0376	1.63094674556213e-11	6.16857142857143e-11	1.17938864628821e-10	1.72e-10	2.19541666666667e-10	2.596875e-10
0.038	1.63284023668639e-11	6.17405714285714e-11	1.17921397379913e-10	1.72e-10	2.19625e-10	2.595625e-10
0.0384	1.63473372781065e-11	6.17954285714286e-11	1.17903930131004e-10	1.72e-10	2.19708333333333e-10	2.594375e-10
0.0388	1.63662721893491e-11	6.18502857142857e-11	1.17886462882096e-10	1.72e-10	2.19791666666667e-10	2.593125e-10
0.0392	1.63852071005917e-11	6.19051428571428e-11	1.17868995633188e-10	1.72e-10	2.19875e-10	2.591875e-10
0.0396	1.64041420118343e-11	6.196e-11	1.17851528384279e-10	1.72e-10	2.19958333333333e-10	2.590625e-10
0.04	1.64230769230769e-11	6.20148571428571e-11	1.17834061135371e-10	1.71980582524272e-10	2.19902912621359e-10	2.58868131868132e-10
0.0404	1.64420118343195e-11	6.20697142857143e-11	1.17816593886463e-10	1.71941747572816e-10	2.19708737864078e-10	2.58604395604396e-10
0.0408	1.64609467455621e-11	6.21245714285714e-11	1.17799126637555e-10	1.71902912621359e-10	2.19514563106796e-10	2.58340659340659e-10
0.0412	1.64798816568047e-11	6.21794285714286e-11	1.17781659388646e-10	1.71864077669903e-10	2.19320388349515e-10	2.58076923076923e-10
0.0416	1.64988165680473e-11	6.22342857142857e-11	1.17764192139738e-10	1.71825242718447e-10	2.19126213592233e-10	2.57813186813187e-10
0.042	1.65177514792899e-11	6.22891428571429e-11	1.1774672489083e-10	1.7178640776699e-10	2.18932038834951e-10	2.57549450549451e-10
0.0424	1.65366863905325e-11	6.2344e-11	1.17729257641921e-10	1.71747572815534e-10	2.1873786407767e-10	2.57285714285714e-10
